Parameter Settings:
alpha = 0.1
gamma = 0.9
zeta = 0.1
block position = [(5.0, 4.0), (8.0, 6.0), (8.0, 2.0), (11.0, 7.0), (5.0, 5.0), (4.0, 6.0), (11.0, 1.0), (10.0, 6.0), (10.0, 2.0), (9.0, 2.0), (11.0, 6.0), (1.0, 5.0), (4.0, 2.0), (2.0, 2.0), (1.0, 7.0)]
VICTIM position = [(4.0, 8.0), (8.0, 4.0), (3.0, 5.0), (11.0, 3.0), (12.0, 5.0), (11.0, 5.0), (9.0, 8.0), (7.0, 4.0), (9.0, 7.0), (12.0, 4.0), (1.0, 4.0), (6.0, 1.0), (12.0, 7.0), (8.0, 3.0), (6.0, 5.0), (1.0, 2.0), (4.0, 7.0), (7.0, 5.0), (1.0, 8.0), (8.0, 1.0)]
Turn     Block     VICTIM     Hit     TurnStep     TotalStep     
1        15        20          52        83           83                  5.1875
2        15        20          85        73           156                  4.875
3        15        20          165        155           311                  6.22
4        15        20          206        66           377                  5.626865671641791
5        15        20          241        71           448                  5.463414634146342
6        15        20          322        192           640                  6.530612244897959
7        15        20          423        231           871                  7.640350877192983
8        15        20          463        48           919                  7.124031007751938
9        15        20          488        70           989                  6.868055555555555
10        15        20          540        141           1130                  7.0186335403726705
11        15        20          580        103           1233                  6.926966292134831
12        15        20          607        100           1333                  6.9067357512953365
13        15        20          621        69           1402                  6.708133971291866
14        15        20          657        129           1531                  6.834821428571429
15        15        20          689        92           1623                  6.7907949790794975
16        15        20          698        49           1672                  6.582677165354331
17        15        20          733        102           1774                  6.594795539033457
18        15        20          774        137           1911                  6.705263157894737
19        15        20          800        86           1997                  6.656666666666666
20        15        20          823        97           2094                  6.564263322884012
