Parameter Settings:
alpha = 0.1
gamma = 0.9
zeta = 0.1
block position = [(11.0, 4.0), (3.0, 3.0), (5.0, 7.0), (7.0, 1.0), (8.0, 2.0), (6.0, 7.0), (12.0, 7.0), (10.0, 1.0), (4.0, 6.0), (5.0, 4.0), (11.0, 3.0), (9.0, 2.0), (11.0, 8.0), (7.0, 2.0), (6.0, 8.0)]
VICTIM position = [(9.0, 4.0), (12.0, 5.0), (3.0, 6.0), (10.0, 8.0), (11.0, 2.0), (1.0, 2.0), (9.0, 6.0), (5.0, 3.0), (1.0, 7.0), (11.0, 5.0), (11.0, 1.0), (6.0, 1.0), (1.0, 8.0), (9.0, 3.0), (8.0, 8.0), (9.0, 5.0), (2.0, 8.0), (3.0, 1.0), (3.0, 4.0), (1.0, 5.0)]
Turn     Block     VICTIM     Hit     TurnStep     TotalStep     
1        15        20          36        63           63                  4.2
2        15        20          85        90           153                  4.935483870967742
3        15        20          110        68           221                  4.702127659574468
4        15        20          166        134           355                  5.634920634920635
5        15        20          191        71           426                  5.325
6        15        20          227        84           510                  5.3125
7        15        20          241        41           551                  4.919642857142857
8        15        20          262        57           608                  4.78740157480315
9        15        20          286        91           699                  4.922535211267606
10        15        20          304        45           744                  4.708860759493671
11        15        20          318        76           820                  4.685714285714286
12        15        20          364        199           1019                  5.363157894736842
13        15        20          397        110           1129                  5.507317073170731
14        15        20          420        90           1219                  5.490990990990991
15        15        20          471        140           1359                  5.7100840336134455
16        15        20          484        36           1395                  5.513833992094861
17        15        20          489        47           1442                  5.380597014925373
18        15        20          559        456           1898                  6.636363636363637
19        15        20          565        52           1950                  6.456953642384106
20        15        20          578        121           2071                  6.451713395638629
