Parameter Settings:
alpha = 0.1
gamma = 0.9
zeta = 0.1
block position = [(1.0, 3.0), (8.0, 4.0), (6.0, 1.0), (8.0, 2.0), (5.0, 8.0), (4.0, 5.0), (12.0, 7.0), (4.0, 2.0), (10.0, 8.0), (7.0, 3.0), (2.0, 6.0), (11.0, 4.0), (4.0, 6.0), (1.0, 1.0), (12.0, 8.0)]
VICTIM position = [(5.0, 4.0), (9.0, 2.0), (7.0, 2.0), (10.0, 4.0), (9.0, 6.0), (2.0, 8.0), (11.0, 3.0), (5.0, 6.0), (11.0, 2.0), (3.0, 8.0), (6.0, 6.0), (10.0, 2.0), (10.0, 5.0), (8.0, 8.0), (8.0, 5.0), (9.0, 7.0), (12.0, 4.0), (1.0, 6.0), (6.0, 2.0), (6.0, 4.0)]
Turn     Block     VICTIM     Hit     TurnStep     TotalStep     
1        15        20          33        94           94                  6.266666666666667
2        15        20          89        180           274                  9.133333333333333
3        15        20          133        178           452                  10.044444444444444
4        15        20          183        176           628                  10.129032258064516
5        15        20          197        91           719                  9.217948717948717
6        15        20          261        243           962                  9.816326530612244
7        15        20          286        172           1134                  9.692307692307692
8        15        20          312        81           1215                  9.135338345864662
9        15        20          334        77           1292                  8.613333333333333
10        15        20          349        98           1390                  8.323353293413174
11        15        20          368        66           1456                  7.913043478260869
12        15        20          388        62           1518                  7.59
13        15        20          397        40           1558                  7.212962962962963
14        15        20          425        136           1694                  7.333333333333333
15        15        20          431        37           1731                  7.036585365853658
16        15        20          442        67           1798                  6.888888888888889
17        15        20          450        59           1857                  6.728260869565218
18        15        20          466        98           1955                  6.718213058419244
19        15        20          498        121           2076                  6.762214983713355
