Parameter Settings:
alpha = 0.1
gamma = 0.9
zeta = 0.1
block position = [(10.0, 7.0), (8.0, 7.0), (1.0, 8.0), (1.0, 6.0), (3.0, 5.0), (12.0, 1.0), (9.0, 4.0), (11.0, 7.0), (9.0, 3.0), (2.0, 3.0), (1.0, 4.0), (1.0, 2.0), (6.0, 1.0), (7.0, 3.0), (6.0, 8.0)]
VICTIM position = [(11.0, 8.0), (2.0, 1.0), (6.0, 6.0), (10.0, 6.0), (4.0, 3.0), (7.0, 4.0), (2.0, 4.0), (7.0, 1.0), (8.0, 5.0), (9.0, 1.0), (1.0, 7.0), (9.0, 8.0), (11.0, 4.0), (5.0, 8.0), (12.0, 2.0), (10.0, 3.0), (3.0, 3.0), (3.0, 8.0), (10.0, 5.0), (2.0, 2.0)]
Turn     Block     VICTIM     Hit     TurnStep     TotalStep     
1        15        20          99        203           203                  10.68421052631579
2        15        20          124        49           252                  7.411764705882353
3        15        20          189        126           378                  7.56
4        15        20          198        41           419                  6.446153846153846
5        15        20          226        61           480                  6.0
6        15        20          301        148           628                  6.541666666666667
7        15        20          329        62           690                  6.216216216216216
8        15        20          355        71           761                  6.0396825396825395
9        15        20          378        55           816                  5.787234042553192
10        15        20          388        30           846                  5.423076923076923
11        15        20          407        54           900                  5.232558139534884
12        15        20          419        43           943                  5.042780748663102
13        15        20          441        61           1004                  4.921568627450981
14        15        20          452        47           1051                  4.755656108597285
15        15        20          479        71           1122                  4.754237288135593
16        15        20          500        65           1187                  4.729083665338646
17        15        20          510        48           1235                  4.642857142857143
18        15        20          560        167           1402                  4.971631205673759
19        15        20          572        52           1454                  4.879194630872483
20        15        20          580        57           1511                  4.827476038338658
