Parameter Settings:
alpha = 0.1
gamma = 0.9
zeta = 0.1
block position = [(2.0, 3.0), (2.0, 8.0), (10.0, 2.0), (12.0, 3.0), (9.0, 6.0), (5.0, 3.0), (2.0, 6.0), (10.0, 4.0), (3.0, 2.0), (5.0, 6.0), (4.0, 8.0), (4.0, 4.0), (8.0, 6.0), (5.0, 7.0), (10.0, 7.0)]
VICTIM position = [(3.0, 8.0), (1.0, 4.0), (1.0, 8.0), (11.0, 2.0), (3.0, 3.0), (1.0, 1.0), (4.0, 1.0), (10.0, 5.0), (6.0, 6.0), (8.0, 2.0), (6.0, 4.0), (8.0, 4.0), (3.0, 4.0), (2.0, 7.0), (12.0, 1.0), (8.0, 1.0), (12.0, 2.0), (7.0, 3.0), (9.0, 5.0), (11.0, 6.0)]
Turn     Block     VICTIM     Hit     TurnStep     TotalStep     
1        15        20          39        63           63                  4.2
2        15        20          190        197           260                  7.647058823529412
3        15        20          232        74           334                  6.68
4        15        20          271        92           426                  6.454545454545454
5        15        20          307        104           530                  6.309523809523809
6        15        20          555        448           978                  9.403846153846153
7        15        20          585        98           1076                  8.966666666666667
8        15        20          628        117           1193                  8.837037037037037
9        15        20          678        115           1308                  8.605263157894736
10        15        20          712        105           1413                  8.461077844311378
11        15        20          756        84           1497                  8.225274725274724
12        15        20          788        96           1593                  8.086294416243655
13        15        20          831        153           1746                  8.235849056603774
14        15        20          874        182           1928                  8.493392070484582
15        15        20          891        50           1978                  8.173553719008265
16        15        20          913        85           2063                  7.934615384615385
17        15        20          946        241           2304                  8.287769784172662
18        15        20          970        201           2505                  8.491525423728813
19        15        20          1010        104           2609                  8.416129032258064
20        15        20          1032        73           2682                  8.252307692307692
