Parameter Settings:
alpha = 0.1
gamma = 0.9
zeta = 0.1
block position = [(5.0, 5.0), (6.0, 8.0), (10.0, 5.0), (3.0, 8.0), (8.0, 7.0), (7.0, 5.0), (7.0, 1.0), (7.0, 4.0), (2.0, 8.0), (6.0, 5.0), (5.0, 8.0), (9.0, 6.0), (12.0, 4.0), (4.0, 3.0), (9.0, 8.0)]
VICTIM position = [(1.0, 4.0), (5.0, 1.0), (12.0, 5.0), (1.0, 7.0), (11.0, 2.0), (1.0, 3.0), (4.0, 8.0), (2.0, 7.0), (9.0, 3.0), (9.0, 4.0), (2.0, 3.0), (2.0, 4.0), (3.0, 5.0), (6.0, 7.0), (5.0, 3.0), (8.0, 2.0), (9.0, 5.0), (11.0, 4.0), (4.0, 2.0), (6.0, 1.0)]
Turn     Block     VICTIM     Hit     TurnStep     TotalStep     
1        15        20          113        228           228                  12.666666666666666
2        15        20          147        78           306                  9.272727272727273
3        15        20          176        72           378                  7.56
4        15        20          298        275           653                  9.602941176470589
5        15        20          322        72           725                  8.630952380952381
6        15        20          365        100           825                  8.168316831683168
7        15        20          400        76           901                  7.767241379310345
8        15        20          439        85           986                  7.526717557251908
9        15        20          456        59           1045                  7.157534246575342
10        15        20          505        119           1164                  7.097560975609756
11        15        20          518        51           1215                  6.787709497206704
12        15        20          540        76           1291                  6.654639175257732
13        15        20          555        50           1341                  6.385714285714286
14        15        20          597        151           1492                  6.601769911504425
15        15        20          608        49           1541                  6.394190871369295
16        15        20          621        42           1583                  6.18359375
17        15        20          649        77           1660                  6.08058608058608
18        15        20          659        56           1716                  5.958333333333333
19        15        20          669        45           1761                  5.792763157894737
20        15        20          675        21           1782                  5.586206896551724
