Parameter Settings:
alpha = 0.2
gamma = 0.95
zeta = 0.1
epsilon = 1
sensitivity = 3
ln_t = 1
Turn     Block     Rubbish     Hit         communication               TurnStep     TotalStep     
1        10        50          59        28             143           143
2        10        50          97        58             124           267
3        10        50          165        102             215           482
4        10        50          257        179             214           696
5        10        50          300        235             116           812
6        10        50          330        281             111           923
7        10        50          368        385             155           1078
8        10        50          432        506             131           1209
9        10        50          481        548             180           1389
10        10        50          500        610             143           1532
11        10        50          515        634             83           1615
12        10        50          560        709             187           1802
13        10        50          601        793             165           1967
14        10        50          619        813             101           2068
15        10        50          640        857             118           2186
16        10        50          659        874             77           2263
17        10        50          708        1031             244           2507
18        10        50          732        1069             87           2594
19        10        50          750        1097             68           2662
20        10        50          768        1111             73           2735
