Parameter Settings:
alpha = 0.2
gamma = 0.95
zeta = 0.1
epsilon = 1
sensitivity = 3
ln_t = 1
Turn     Block     Rubbish     Hit         communication               TurnStep     TotalStep     
1        10        50          51        5             154           154
2        10        50          131        20             170           324
3        10        50          166        23             93           417
4        10        50          232        29             251           668
5        10        50          307        37             246           914
6        10        50          344        38             148           1062
7        10        50          389        39             179           1241
8        10        50          443        54             135           1376
9        10        50          477        54             101           1477
10        10        50          500        54             107           1584
11        10        50          523        54             73           1657
12        10        50          575        54             197           1854
13        10        50          617        60             171           2025
14        10        50          665        60             254           2279
15        10        50          690        60             171           2450
16        10        50          723        64             136           2586
17        10        50          739        65             143           2729
18        10        50          767        73             139           2868
19        10        50          795        76             112           2980
20        10        50          821        79             147           3127
